font,font name,size,bold,italic
de_large,Commodore Rounded v1-1.ttf,14,,
de_medium,Commodore Rounded v1-1.ttf,8,,
de_medium_bold,Commodore Rounded v1-1.ttf,16,,
de_small,small_pixel.ttf,6,,
en_large,Commodore Rounded v1-1.ttf,14,,
en_medium,Commodore Rounded v1-1.ttf,10,,
en_medium_bold,Commodore Rounded v1-1.ttf,10,,
en_small,small_pixel.ttf,6,,
fr_large,Commodore Rounded v1-1.ttf,24,,
fr_medium,Commodore Rounded v1-1.ttf,16,,
fr_medium_bold,Commodore Rounded v1-1.ttf,22,,
fr_small,small_pixel.ttf,12,,
it_large,Commodore Rounded v1-1.ttf,22,,
it_medium,Commodore Rounded v1-1.ttf,18,,
it_medium_bold,Commodore Rounded v1-1.ttf,18,,
it_small,small_pixel.ttf,12,,
ja_large,Commodore Rounded v1-1.ttf,15,,
ja_medium,Commodore Rounded v1-1.ttf,8,,
ja_medium_bold,Commodore Rounded v1-1.ttf,10.8,,
ja_small,small_pixel.ttf,12,,
ko_large,Commodore Rounded v1-1.ttf,15,,
ko_medium,Commodore Rounded v1-1.ttf,8,,
ko_medium_bold,Commodore Rounded v1-1.ttf,10.8,,
ko_small,small_pixel.ttf,12,,
nl_large,Commodore Rounded v1-1.ttf,14,,
nl_medium,Commodore Rounded v1-1.ttf,8,,
nl_medium_bold,Commodore Rounded v1-1.ttf,10.8,,
nl_small,small_pixel.ttf,6,,
pl_large,Commodore Rounded v1-1.ttf,15,,
pl_medium,Commodore Rounded v1-1.ttf,8,,
pl_medium_bold,Commodore Rounded v1-1.ttf,10.8,,
pl_small,small_pixel.ttf,12,,
pt-BR_large,Commodore Rounded v1-1.ttf,15,,
pt-BR_medium,Commodore Rounded v1-1.ttf,8,,
pt-BR_medium_bold,Commodore Rounded v1-1.ttf,10.8,,
pt-BR_small,small_pixel.ttf,12,,
ru_large,Commodore Rounded v1-1.ttf,15,,
ru_medium,Commodore Rounded v1-1.ttf,8,,
ru_medium_bold,Commodore Rounded v1-1.ttf,10.8,,
ru_small,small_pixel.ttf,12,,
uk_large,Commodore Rounded v1-1.ttf,15,,
uk_medium,Commodore Rounded v1-1.ttf,8,,
uk_medium_bold,Commodore Rounded v1-1.ttf,10.8,,
uk_small,small_pixel.ttf,18,,
zh_large,Commodore Rounded v1-1.ttf,15,,
zh_medium,Commodore Rounded v1-1.ttf,8,,
zh_medium_bold,Commodore Rounded v1-1.ttf,10.8,,
zh_small,small_pixel.ttf,18,,
es_large,Commodore Rounded v1-1.ttf,24,,
es_medium,Commodore Rounded v1-1.ttf,16,,
es_medium_bold,Commodore Rounded v1-1.ttf,16,,
es_small,small_pixel.ttf,12,,
